fila,foto,estado_tel,area_px_pc,area_px_tel,dif_area_px,cmpx_pc,cmpx_tel,dif_cmpx,d_pc,d_tel,dif_d,peso_pc,peso_tel,dif_peso,lo_pc,lo_tel,dif_lo,hi_pc,hi_tel,dif_hi,sha_igual,depth_ms,sobrecosto_ms,dominio_descriptor_cm,dominio_peso_kg,dominio_predictor
1,IMG_20260912_065058.jpg,ok,1146882,1146882,0,0.11870147498115567,0.11870147498115567,0.0,71.51624069303624,71.51624069303624,0.0,410.55119092144133,410.55119092144133,0.0,346.19878745205284,346.19878745205284,0.0,486.86559998526167,486.86559998526167,0.0,True,126,408.00000000000006,71.51624069303624,410.55119092144133,D_media_cm
2,IMG_20260912_065501.jpg,ok,1063506,1063506,0,0.10630564403281696,0.10630564403281696,0.0,64.34836746489955,64.34836746489955,0.0,369.4027907585119,369.4027907585119,0.0,311.920534781694,311.920534781694,0.0,437.4781606337045,437.4781606337045,0.0,True,117.33333333333333,390,64.34836746489955,369.4027907585119,D_media_cm
3,IMG_20260912_065723.jpg,ok,1185575,1185575,0,0.11578476943427767,0.11578476943427767,0.0,69.14523167512922,69.14523167512922,0.0,396.9400088101592,396.9400088101592,0.0,335.1500841431596,335.1500841431596,0.0,470.1218291412,470.1218291412,0.0,True,131,415,69.14523167512922,396.9400088101592,D_media_cm
4,IMG_20260912_065953.jpg,ok,1137777,1137777,0,0.11808260302555273,0.11808260302555273,0.0,70.96316189004278,70.96316189004278,0.0,407.3761476160054,407.3761476160054,0.0,343.6466999318494,343.6466999318494,0.0,482.9242523771333,482.9242523771333,0.0,True,120,404.33333333333337,70.96316189004278,407.3761476160054,D_media_cm
5,IMG_20260912_070206.jpg,ok,1178614,1178614,0,0.11920878020808602,0.11920878020808602,0.0,73.12806742749315,73.12806742749315,0.0,419.8041575060613,419.8041575060613,0.0,353.55033573752695,353.55033573752695,0.0,498.4736622912157,498.4736622912157,0.0,True,127.33333333333333,412.66666666666663,73.12806742749315,419.8041575060613,D_media_cm
6,IMG_20260912_070540.jpg,ok,1115643,1115643,0,0.12061297588607146,0.12061297588607146,0.0,72.78718379703415,72.78718379703415,0.0,417.84725682036577,417.84725682036577,0.0,352.00613453030843,352.00613453030843,0.0,496.00365705351544,496.00365705351544,0.0,True,124.66666666666667,414.6666666666667,72.78718379703415,417.84725682036577,D_media_cm
7,IMG_20260912_070835.jpg,ok,1143959,1143959,0,0.11424867444560415,0.11424867444560415,0.0,66.95750770394397,66.95750770394397,0.0,384.38100580505653,384.38100580505653,0.0,324.70219778110027,324.70219778110027,0.0,455.02851115073923,455.02851115073923,0.0,True,129.66666666666666,429.66666666666663,66.95750770394397,384.38100580505653,D_media_cm
8,IMG_20260912_071104.jpg,ok,1047146,1047146,0,0.11608935727553223,0.11608935727553223,0.0,67.45085217002683,67.45085217002683,0.0,387.21313394996537,387.21313394996537,0.0,327.0796850039547,327.0796850039547,0.0,458.40208969731947,458.4020896973194,5.684341886080802e-14,True,115.33333333333333,384.66666666666663,67.45085217002683,387.21313394996537,D_media_cm
9,IMG_20260912_071338.jpg,ok,1084610,1084610,0,0.12113944787160442,0.12113944787160442,0.0,76.43669512455828,76.43669512455828,0.0,438.79789974114533,438.79789974114533,0.0,368.25253025556685,368.25253025556685,0.0,522.8574985855906,522.8574985855906,0.0,True,120.33333333333333,420.6666666666667,76.43669512455828,438.79789974114533,D_media_cm
10,IMG_20260912_071633.jpg,ok,1135278,1135278,0,0.11492597817851842,0.11492597817851842,0.0,68.40298449536935,68.40298449536935,0.0,392.6790121378583,392.6790121378583,0.0,331.63280661331567,331.6328066133157,5.684341886080802e-14,464.9624629970881,464.9624629970881,0.0,True,125,402,68.40298449536935,392.6790121378583,D_media_cm
11,IMG_20260912_071943.jpg,ok,1194309,1194309,0,0.11424020726025319,0.11424020726025319,0.0,66.98471118630579,66.98471118630579,0.0,384.5371720404826,384.5371720404826,0.0,324.8336205529141,324.8336205529141,0.0,455.2140767608889,455.2140767608889,0.0,True,137.33333333333334,448,66.98471118630579,384.5371720404826,D_media_cm
12,IMG_20260912_072251.jpg,ok,1390613,1390613,0,0.10766972018757465,0.10766972018757465,0.0,67.68087848213746,67.68087848213746,0.0,388.5336392710662,388.5336392710662,0.0,328.18393610816645,328.18393610816645,0.0,459.98104183705226,459.98104183705226,0.0,True,157.66666666666666,490.66666666666663,67.68087848213746,388.5336392710662,D_media_cm
13,IMG_20260912_072534.jpg,ok,1021240,1021240,0,0.12232789443675281,0.12232789443675281,0.0,71.42203472852793,71.42203472852793,0.0,410.01038549674354,410.01038549674354,0.0,345.76516394143766,345.76516394143766,0.0,486.19275088007663,486.19275088007663,0.0,True,117.66666666666667,396.00000000000006,71.42203472852793,410.01038549674354,D_media_cm
14,IMG_20260912_072827.jpg,ok,1123943,1123943,0,0.11212814269820094,0.11212814269820094,0.0,65.13456232109634,65.13456232109634,0.0,373.9160765713571,373.9160765713571,0.0,315.8086893486629,315.8086893486629,0.0,442.71496331172415,442.71496331172415,0.0,True,132,451,65.13456232109634,373.9160765713571,D_media_cm
15,IMG_20260912_072956_1.jpg,ok,886406,886406,0,0.11974419624005646,0.11974419624005646,0.0,65.71921019375019,65.71921019375019,0.0,377.27234751151985,377.27234751151985,0.0,318.67957371192773,318.67957371192773,0.0,446.6380525710036,446.6380525710036,0.0,True,103.66666666666667,397.66666666666663,65.71921019375019,377.27234751151985,D_media_cm
16,IMG_20260912_073109.jpg,ok,733518,733518,0,0.12354456741585257,0.12354456741585257,0.0,59.97477055969453,59.97477055969453,0.0,344.295410943215,344.295410943215,0.0,289.72537205342564,289.72537205342564,0.0,409.143766582854,409.143766582854,0.0,True,84.33333333333333,358.66666666666663,59.97477055969453,344.295410943215,D_media_cm
17,IMG_20260912_073218_1.jpg,ok,1350983,1350983,0,0.10710904690996377,0.10710904690996377,0.0,70.9646319217769,70.9646319217769,0.0,407.38458658417943,407.38458658417943,0.0,343.65350332593334,343.65350332593334,0.0,482.9346995742926,482.9346995742926,0.0,True,154.66666666666666,455.33333333333337,70.9646319217769,407.38458658417943,D_media_cm
18,IMG_20260912_073338.jpg,ok,1137442,1137442,0,0.11722607741384435,0.11722607741384435,0.0,72.89077330482807,72.89077330482807,0.0,418.44193007751176,418.44193007751176,0.0,352.4759896661283,352.4759896661283,0.0,496.753407268521,496.753407268521,0.0,True,136.66666666666666,445.66666666666674,72.89077330482807,418.44193007751176,D_media_cm
19,IMG_20260912_073507.jpg,ok,814862,814862,0,0.12022593311212836,0.12022593311212836,0.0,64.15323523783232,64.15323523783232,0.0,368.28260089068226,368.28260089068226,0.0,310.9506176477496,310.9506176477496,0.0,436.1852539313878,436.1852539313878,0.0,True,102.66666666666667,401.6666666666667,64.15323523783232,368.28260089068226,D_media_cm
20,IMG_20260912_073636.jpg,ok,1280655,1280655,0,0.11487201719392368,0.11487201719392368,0.0,73.01660427292266,73.01660427292266,0.0,419.1642842351886,419.1642842351886,0.0,353.04602688130564,353.04602688130564,0.0,497.6651308909022,497.6651308909022,0.0,True,146,442.6666666666667,73.01660427292266,419.1642842351886,D_media_cm
21,IMG_20260912_073759.jpg,ok,733021,733021,0,0.11864037811992253,0.11864037811992253,0.0,56.520653316723966,56.520653316723966,0.0,324.466461127877,324.466461127877,0.0,271.5604352640946,271.5604352640946,0.0,387.6797601037278,387.6797601037278,0.0,True,85.33333333333333,359.66666666666663,56.520653316723966,324.466461127877,D_media_cm
22,IMG_20260912_073919.jpg,ok,929874,929874,0,0.11487883850934481,0.11487883850934481,0.0,62.85995819400434,62.85995819400434,0.0,360.85832319669777,360.85832319669777,0.0,304.4735664743568,304.4735664743568,0.0,427.68484281967903,427.68484281967903,0.0,True,107,386.6666666666667,62.85995819400434,360.85832319669777,D_media_cm
23,IMG_20260912_074121.jpg,ok,988294,988294,0,0.10522118459675835,0.10522118459675835,0.0,61.68609367710885,61.68609367710885,0.0,354.11955350296586,354.11955350296586,0.0,298.5221074486713,298.5221074486713,0.0,420.07159618723256,420.07159618723256,0.0,True,119.33333333333333,442.66666666666663,61.68609367710885,354.11955350296586,D_media_cm
24,IMG_20260912_074251.jpg,ok,920337,920337,0,0.11897809738868297,0.11897809738868297,0.0,66.4905951201195,66.4905951201195,0.0,381.7006143934311,381.7006143934311,0.0,322.4405647842483,322.4405647842483,0.0,451.8518292690952,451.8518292690952,0.0,True,111.33333333333333,401.33333333333337,66.4905951201195,381.7006143934311,D_media_cm
25,IMG_20260912_074406_1.jpg,ok,940415,940415,0,0.11485759940408276,0.11485759940408276,0.0,64.38930615208194,64.38930615208194,0.0,369.6378062824631,369.6378062824631,0.0,312.1237771365651,312.12377713656514,5.684341886080802e-14,437.7497577620636,437.7497577620636,0.0,True,110,406.3333333333333,64.38930615208194,369.6378062824631,D_media_cm
26,IMG_20260912_074553.jpg,ok,1067383,1067383,0,0.12204789903461326,0.12204789903461326,0.0,73.03763093600729,73.03763093600729,0.0,419.2849913848771,419.2849913848771,0.0,353.1412067915787,353.1412067915787,0.0,497.8175886009595,497.8175886009595,0.0,True,124.33333333333333,423.66666666666663,73.03763093600729,419.2849913848771,D_media_cm
27,IMG_20260912_074743.jpg,ok,981372,981372,0,0.12124661195125357,0.12124661195125357,0.0,67.3077978401783,67.3077978401783,0.0,386.3919061432931,386.3919061432931,0.0,326.3915761960114,326.3915761960114,0.0,457.4220538197576,457.4220538197576,0.0,True,121.33333333333333,434,67.3077978401783,386.3919061432931,D_media_cm
28,IMG_20260912_074904.jpg,ok,972713,972713,0,0.11402599127367351,0.11402599127367351,0.0,64.24542305449818,64.24542305449818,0.0,368.8118207930967,368.8118207930967,0.0,311.40908450123345,311.40908450123345,0.0,436.7957324513456,436.7957324513456,0.0,True,115,420.6666666666667,64.24542305449818,368.8118207930967,D_media_cm
29,IMG_20260912_075038.jpg,ok,946755,946755,0,0.11486666170261843,0.11486666170261843,0.0,62.83738704053313,62.83738704053313,0.0,360.72874963622706,360.72874963622706,0.0,304.35977718998504,304.35977718998504,0.0,427.5375413121362,427.5375413121362,0.0,True,113.66666666666667,417.33333333333337,62.83738704053313,360.72874963622706,D_media_cm
30,IMG_20260912_075205.jpg,ok,1100901,1100901,0,0.11759477937548246,0.11759477937548246,0.0,73.29587981984669,73.29587981984669,0.0,420.7675131979221,420.7675131979221,0.0,354.3084630927149,354.3084630927149,0.0,499.69255212635045,499.69255212635045,0.0,True,130,437,73.29587981984669,420.7675131979221,D_media_cm
31,IMG_20260912_075406.jpg,ok,754632,754632,0,0.12072143853296266,0.12072143853296266,0.0,55.93880980021749,55.93880980021749,0.0,321.1262890730152,321.1262890730152,0.0,268.4505138058571,268.4505138058571,0.0,384.1381864829784,384.1381864829784,0.0,True,95.66666666666667,394,55.93880980021749,321.1262890730152,D_media_cm
32,IMG_20260912_075532_1.jpg,ok,1041579,1041579,0,0.11581789288305673,0.11581789288305673,0.0,66.15624540692048,66.15624540692048,0.0,379.78122277541695,379.78122277541695,0.0,320.81415283346615,320.81415283346615,0.0,449.5867027651435,449.5867027651435,0.0,True,122,425,66.15624540692048,379.78122277541695,D_media_cm
33,IMG_20260912_075701_1.jpg,ok,936078,936078,0,0.11155868347877033,0.11155868347877033,0.0,59.677191413336914,59.677191413336914,0.0,342.5871070426382,342.5871070426382,0.0,288.1815174735781,288.18151747357814,5.684341886080802e-14,407.2638902757,407.2638902757,0.0,True,107.33333333333333,382,59.677191413336914,342.5871070426382,D_media_cm
34,IMG_20260912_075808.jpg,ok,862640,862640,0,0.11132620193495368,0.11132620193495368,0.0,57.81780165008885,57.81780165008885,0.0,331.91296262046137,331.91296262046137,0.0,278.4433614570223,278.4433614570223,0.0,395.65035481190995,395.65035481190995,0.0,True,109,414.3333333333333,57.81780165008885,331.91296262046137,D_media_cm
35,IMG_20260912_075932_2.jpg,ok,830537,830537,0,0.10867040803119964,0.10867040803119964,0.0,59.010121376480456,59.010121376480456,0.0,338.7576775954875,338.7576775954875,0.0,284.7058331763927,284.7058331763927,0.0,403.0713485901409,403.0713485901409,0.0,True,100.33333333333333,395.6666666666666,59.010121376480456,338.7576775954875,D_media_cm
36,IMG_20260912_080040.jpg,ok,1132206,1132206,0,0.11193299037647893,0.11193299037647893,0.0,68.40333935992287,68.40333935992287,0.0,392.68104929842,392.68104929842,0.0,331.6344949272239,331.6344949272239,0.0,464.9649202262464,464.9649202262464,0.0,True,131.33333333333334,436.66666666666663,68.40333935992287,392.68104929842,D_media_cm
37,IMG_20260912_080203_1.jpg,ok,1130623,1130623,0,0.11338717803040939,0.11338717803040939,0.0,66.46843783817312,66.46843783817312,0.0,381.5734167331163,381.5734167331163,0.0,322.3329606502498,322.3329606502498,0.0,451.7014706273465,451.7014706273465,0.0,True,131,429.33333333333337,66.46843783817312,381.5734167331163,D_media_cm
38,IMG_20260912_080336_1.jpg,ok,851431,851431,0,0.12348003884360065,0.12348003884360065,0.0,68.7161423710237,68.7161423710237,0.0,394.4767483939929,394.4767483939929,0.0,333.1201922666113,333.1201922666113,0.0,467.13441165089836,467.13441165089836,0.0,True,96.66666666666667,364.00000000000006,68.7161423710237,394.4767483939929,D_media_cm
39,IMG_20260912_080441.jpg,ok,1102852,1102852,0,0.12236774396594942,0.12236774396594942,0.0,72.49951263792252,72.49951263792252,0.0,416.19583141233915,416.19583141233915,0.0,350.6985977485455,350.6985977485455,0.0,493.9254710371211,493.9254710371211,0.0,True,120.33333333333333,408.99999999999994,72.49951263792252,416.19583141233915,D_media_cm
40,20260912_080631.jpg,ok,1366354,1366354,0,0.10079677891908125,0.10079677891908125,0.0,65.82994520566554,65.82994520566554,0.0,377.90804075515223,377.90804075515223,0.0,319.22135676325917,319.22135676325917,0.0,447.383874047349,447.383874047349,0.0,True,165,499.6666666666667,65.82994520566554,377.90804075515223,D_media_cm
