fila,d_media_cm,peso_ref_kg,pred_loo_kg,ip95_lo_kg,ip95_hi_kg,ip95_ancho_kg,ape_pct
1,71.51624069303624,410.50109485,410.55247551647903,345.3139136922433,488.11625732211337,142.80234362987005,0.01251657233649873
2,64.34836746489955,367.4098197,369.4540344824387,311.20865012827113,438.60054512974244,127.39189500147131,0.5563854510224733
3,69.14523167512922,397.34691612,396.92958077047746,334.3251159602229,471.2571223915233,136.9320064313004,0.10503047402449425
4,70.96316189004278,410.50109485,407.2963343438292,342.72046301256347,484.0396821121214,141.31921909955793,0.7806947524322366
5,73.12806742749315,449.0564463,419.0797031277023,352.52019730537563,498.2063408453814,145.6861435400058,6.675495568383669
6,72.78718379703415,379.65681369000004,418.8754407699372,353.027395664412,497.00571976855394,143.97832410414196,10.330020604334583
7,66.95750770394397,432.72712098,383.2151161662212,324.4674230988296,452.599597998965,128.1321749001354,11.4418538643126
8,67.45085217002683,337.92631565,388.5672413508883,329.4910752072302,458.23548014488466,128.74440493765445,14.985789314300868
9,76.43669512455828,438.17022942,438.81400566926783,366.99762655038154,524.6838607144883,157.6862341641068,0.14692377666095394
10,68.40298449536935,474.45761902000004,390.7788314548158,333.31320225919893,458.1519546124634,124.83875235326445,17.636725433564358
11,66.98471118630579,367.4098197,384.98667810557237,324.6563713808454,456.5280566907371,131.8716853098917,4.783992550858964
12,67.68087848213746,349.71971727,389.58357541308754,329.5006045437004,460.62240899929964,131.12180445559926,11.398802004723912
13,71.42203472852793,415.03701855,409.8823011504383,344.7922709817039,487.26005463531266,142.46778365360876,1.2419897910722688
14,65.13456232109634,332.02961484,375.05688837708095,317.51270921997195,443.03004394587543,125.51733472590348,12.95886620168358
15,65.71921019375019,373.30652051000004,377.37458747287354,318.01127370560715,447.8192788918428,129.80800518623568,1.0897390587541391
16,59.97477055969453,326.13291403,344.77418199882186,289.5887229410875,410.47605502628267,120.88733208519517,5.715849939361566
17,70.9646319217769,379.65681369000004,408.12157337999446,343.9817368906057,484.2211105851042,140.2393736944985,7.497497388058644
18,72.89077330482807,432.72712098,418.0819116797406,351.3566670401284,497.4787766125508,146.1221095724224,3.3843982940316533
19,64.15323523783232,337.92631565,369.0958222306647,311.64945463315286,437.1312831222207,125.48182848906782,9.223758297932571
20,73.01660427292266,426.83042017,418.96953780272275,351.9637006614694,498.7317535209778,146.76805285950843,1.8416874702010229
21,56.520653316723966,282.13445414,325.6316225930218,273.2836101625616,388.00699964951855,114.72338948695693,15.41717709934064
22,62.85995819400434,379.65681369000004,360.38875167465693,303.58008656425375,427.82797054815376,124.24788398390001,5.075126092976167
23,61.68609367710885,349.71971727,354.2330947305569,297.8585649306121,421.27741208858396,123.41884715797187,1.290569915756958
24,66.4905951201195,373.30652051000004,381.91831153483184,321.90290296787816,453.1229614296831,131.2200584618049,2.3068954201674896
25,64.38930615208194,373.30652051000004,369.5442122998917,311.2968289681261,438.69038209293865,127.39355312481257,1.0078335103733005
26,73.03763093600729,443.61333786,418.67905256486097,352.0525618894045,497.91470942818125,145.86214753877675,5.620724889702944
27,67.3077978401783,403.24361693000003,385.9691995616633,325.4481156305846,457.74492416901586,132.29680853843126,4.283866289031786
28,64.24542305449818,320.68980559,370.13635769510023,313.8397177528988,436.53150171280305,122.69178395990423,15.418810090994088
29,62.83738704053313,332.02961484,361.49636467647974,304.94932306100486,428.5289777415511,123.57965468054624,8.874735421019386
30,73.29587981984669,438.17022942,420.3304977912835,353.163473762668,500.2718018687253,147.1083281060573,4.07141572633328
31,55.93880980021749,292.56707865000004,321.89412516004944,268.6548625169763,385.6837983195114,117.0289358025351,10.024041886521875
32,66.15624540692048,391.45021531000003,379.4866367311967,319.89276915578404,450.18244031462933,130.2896711588453,3.05621969560779
33,59.677191413336914,361.51311889000004,342.11508063972065,287.2263525091549,407.49300117715353,120.26664866799865,5.365790959354304
34,57.81780165008885,343.82301646,331.61306364318744,277.32428638023947,396.5293678897079,119.20508150946841,3.551231951405169
35,59.010121376480456,385.5535145,337.6356031743397,284.5376907768963,400.64217931776545,116.10448854086917,12.42834250591699
36,68.40333935992287,454.49955474,391.2117622214175,331.9930954563013,460.99345135486914,129.00035589856782,13.924720466401075
37,66.46843783817312,415.03701855,380.75182158193735,321.62470146248734,450.7488043634367,129.12410290094937,8.260756374899676
38,68.7161423710237,385.5535145,394.7082446485166,332.5655565417393,468.46281982289383,135.89726328115455,2.3744382567459628
39,72.49951263792252,403.24361693000003,416.5333537238059,350.17040290063136,495.4731562896698,145.30275338903846,3.295709153435363
40,65.82994520566554,438.17022942,376.47706484965306,319.6109431664303,443.4609746262803,123.85003145985002,14.079725282114522
