fila,nombre,n_fotos,cv_peso_area_pct,rango_peso_area_kg,cv_peso_profundidad_pct,rango_peso_profundidad_kg
1,Estrellita,5,3.506,36.53,3.076,30.68
2,Rosalinda,5,0.617,5.63,1.354,11.48
3,Irina,5,0.459,5.02,1.320,14.05
4,Realta,5,2.349,23.51,0.700,6.99
5,Damita,5,0.895,8.40,0.446,4.61
6,Señorita,5,0.517,5.72,1.019,11.24
7,Keila,2,0.614,3.48,0.503,2.74
8,Gaby,4,3.043,22.19,0.156,1.42
9,Cerezita,5,0.881,8.94,1.167,11.68
10,Martinica,5,1.167,12.82,1.351,14.43
11,Crisalia,5,1.985,17.01,2.010,18.44
12,Oscarina,5,1.506,16.17,1.840,17.56
13,Minerva,5,0.833,6.43,1.538,16.91
14,Carlina,5,1.636,15.09,1.295,12.92
15,Leonora,5,0.648,6.03,0.747,7.59
16,Cereza,5,0.293,2.29,0.222,2.05
17,Guadiela,5,0.422,4.26,0.616,6.38
18,Nicoleta,5,0.455,4.02,1.545,13.68
19,Mafer,5,0.551,4.52,1.080,9.93
20,Anita,5,0.640,6.65,1.414,14.17
21,Zafiro,5,1.031,7.98,1.443,10.73
22,Selena,5,0.995,9.82,1.301,11.67
23,Perla,5,1.005,8.70,0.187,1.73
24,Chaparrita,5,0.241,2.31,1.287,11.72
25,Lucy,5,0.743,6.58,1.274,10.48
26,Mariita,5,0.420,4.55,0.785,9.06
27,Diajira,5,0.374,3.92,0.921,9.82
28,Valentina,5,0.569,4.44,0.703,6.61
29,Bengala,5,0.602,5.04,1.088,8.81
30,Victoria,5,1.971,21.61,4.335,42.46
31,Danessa,5,1.055,8.82,1.402,11.54
32,Sofía,5,0.569,4.84,1.900,14.44
33,Fabiola,5,0.416,2.93,1.136,11.11
34,Lucero,5,0.501,3.97,1.077,8.11
35,Camelia,5,0.834,7.37,1.461,12.58
36,Cristy,5,1.121,11.02,0.788,8.19
37,Naomi,5,1.510,13.54,1.603,15.43
38,Odra,5,1.194,9.66,0.690,7.43
39,Gioconda,5,2.253,23.30,1.812,18.89
40,Esmeralda,5,1.070,10.75,0.820,8.07
