fila,nombre,n_ok,n_sel,mediana_area,mediana_area_corr,cv_area_pct,cv_area_corr_pct,cv_area_sel_pct,cv_area_corr_sel_pct
1,Estrellita,15,5,16388.2,20875.7,7.15,8.05,6.83,6.57
2,Rosalinda,13,5,12134.9,16935.5,6.69,3.56,1.73,1.86
3,Irina,12,5,14187.1,18892.7,8.77,10.21,0.86,0.81
4,Realta,11,5,15643.5,20644.5,4.66,2.53,4.19,2.07
5,Pamita,28,5,15801.9,20946.6,10.74,7.29,2.33,2.32
6,Señorita,27,5,16704.7,22327.4,4.01,2.65,0.77,0.77
7,Keila,26,5,14741.9,19894.6,5.52,6.4,1.07,1.05
8,Gaby,22,5,15286.2,19928.3,3.68,3.85,5.5,5.2
9,Cerezita,26,5,16523.3,22025.4,2.46,3.01,1.71,1.71
10,Martinica,42,5,15270.7,21186.9,8.64,4.76,1.92,1.85
11,Crisalia,29,5,14509.9,20289.9,4.27,2.28,4.21,3.85
12,Oscarina,40,5,15645.7,21224.8,3.44,4.02,3.31,4.81
13,Minerva,41,5,15527.2,20697.9,2.82,1.65,1.03,1.74
14,Carlina,37,5,14134.5,19503.6,7.05,4.04,3.51,3.51
15,Leonora,37,5,11331.2,16212.5,9.28,4.43,0.7,0.7
16,Cereza,36,5,10326.6,14550.0,4.72,1.51,0.78,0.72
17,Guadalupe,32,5,14889.9,20122.1,7.31,5.79,0.44,0.43
18,Nicoleta,28,5,15714.1,21201.2,4.19,2.8,0.44,0.41
19,Mafer,25,5,11450.6,15827.0,6.53,2.49,1.55,1.52
20,Anita,27,5,16664.4,21787.9,2.22,5.0,0.57,0.54
21,Zafiro,32,5,10751.4,14075.6,7.23,5.78,2.06,2.09
22,Selena,31,5,12289.7,16887.4,4.2,1.74,1.48,1.48
23,Perla,32,5,9486.3,14338.3,8.52,3.05,1.73,1.7
24,Chaparrita,30,5,13235.4,17814.6,5.09,1.53,0.83,0.78
25,Lucy,33,5,13153.1,18560.3,8.09,5.0,2.22,2.22
26,Mauita,34,5,14911.6,21004.7,8.3,3.08,1.89,1.91
27,Diajira,29,5,14791.4,19409.7,1.76,3.8,0.46,0.51
28,Valentina,34,5,12875.9,17621.2,3.13,2.14,0.73,0.73
29,Bengala,35,5,12704.4,17297.0,4.3,4.54,1.12,1.11
30,Victoria,35,5,16459.8,21956.5,5.81,2.89,3.78,3.65
31,Danessa,30,5,9593.6,14422.6,6.83,3.4,2.42,2.43
32,Sofía,33,5,13700.4,18741.2,2.51,2.85,1.02,1.01
33,Fabiola,22,5,10648.9,15940.3,4.8,3.27,0.34,0.38
34,Lucero,35,5,10480.4,14069.8,7.29,3.8,0.48,0.46
35,Camelia,31,5,9005.6,13080.9,7.16,1.96,2.76,2.8
36,Cristy,41,5,14811.2,19960.9,4.85,6.52,0.82,0.69
37,Naomi,32,5,14625.1,19918.9,3.17,4.21,3.5,3.43
38,Bora,29,5,12733.4,17054.8,7.28,7.6,0.8,0.71
39,Gioconda,24,5,15452.1,20397.7,4.2,2.71,2.3,2.43
40,Esmeralda,24,5,13897.8,18655.3,4.29,3.78,0.94,0.86
