folder,photo,iou,area_old,area_new,area_ratio,h_old,h_new,h_ratio,w_old,w_new,w_ratio
3159,IMG_20260604_065125,0.9228,859152,904702,1.053,1032,1082,1.0484,1562,1530,0.9795
3159,IMG_20260604_065126,0.9275,859656,905369,1.0532,1032,1076,1.0426,1664,1639,0.985
3159,IMG_20260604_065126_1,0.9144,822372,867691,1.0551,1032,1056,1.0233,1690,1657,0.9805
3159,IMG_20260604_065127,0.9245,710364,751002,1.0572,888,928,1.045,1561,1536,0.984
3672,IMG_20260604_064806,0.931,753936,798543,1.0592,1224,1273,1.04,1485,1459,0.9825
3672,IMG_20260604_064807,0.9293,800994,848906,1.0598,1200,1255,1.0458,1562,1536,0.9834
3672,IMG_20260604_064808,0.9201,767172,810163,1.056,1104,1152,1.0435,1562,1536,0.9834
3672,IMG_20260604_064814,0.9246,670554,696198,1.0382,984,1024,1.0407,1280,1255,0.9805
3672,IMG_20260604_064815,0.9255,728970,753487,1.0336,984,1017,1.0335,1459,1433,0.9822
3672,IMG_20260604_064815_1,0.9086,736152,757960,1.0296,1008,1056,1.0476,1434,1395,0.9728
3672,IMG_20260604_064816,0.916,700080,715551,1.0221,984,1011,1.0274,1408,1382,0.9815
3672,IMG_20260604_064816_1,0.9279,703290,728348,1.0356,984,1018,1.0346,1357,1337,0.9853
3672,IMG_20260604_064817,0.9261,645648,678367,1.0507,1008,1037,1.0288,1357,1331,0.9808
3672,IMG_20260604_064817_1,0.9277,688386,716387,1.0407,960,1011,1.0531,1408,1382,0.9815
3672,IMG_20260604_064818,0.9298,676620,706660,1.0444,960,999,1.0406,1332,1306,0.9805
3672,IMG_20260604_064818_1,0.9268,662232,687142,1.0376,936,986,1.0534,1357,1331,0.9808
3672,IMG_20260604_064818_2,0.9164,650568,680211,1.0456,960,992,1.0333,1305,1267,0.9709
3672,IMG_20260604_064819,0.914,646434,678362,1.0494,960,986,1.0271,1357,1325,0.9764
3672,IMG_20260604_064819_1,0.9217,669252,685021,1.0236,936,985,1.0524,1357,1312,0.9668
3672,IMG_20260604_064820,0.9378,633246,666538,1.0526,936,986,1.0534,1312,1293,0.9855
3672,IMG_20260604_064820_1,0.9163,693168,721253,1.0405,864,896,1.037,1434,1388,0.9679
3672,IMG_20260604_064821,0.9352,645366,672760,1.0424,936,992,1.0598,1254,1236,0.9856
3672,IMG_20260604_064821_1,0.9199,682146,699970,1.0261,960,992,1.0333,1305,1261,0.9663
3672,IMG_20260604_064821_2,0.9252,693750,715702,1.0316,960,992,1.0333,1383,1337,0.9667
