folder,photo,status,n_cows,dom_conf,dom_frac,img_frac,edge,marker_px,mask_h_px,mask_w_px,area_px
3159,IMG_20260604_065125.jpg,revisar,2,0.956,0.634,0.0959,0,156,1082,1530,904702
3159,IMG_20260604_065126.jpg,revisar,2,0.932,0.643,0.0959,0,154,1076,1639,905369
3159,IMG_20260604_065126_1.jpg,revisar,2,0.949,0.696,0.0919,0,157,1056,1657,867691
3159,IMG_20260604_065127.jpg,revisar,2,0.945,0.733,0.0796,0,167,928,1536,751002
3672,IMG_20260604_064806.jpg,revisar,4,0.906,0.44,0.0846,0,166,1273,1459,798543
3672,IMG_20260604_064807.jpg,revisar,5,0.887,0.405,0.09,0,159,1255,1536,848906
3672,IMG_20260604_064808.jpg,revisar,4,0.883,0.461,0.0858,0,161,1152,1536,810163
3672,IMG_20260604_064814.jpg,revisar,5,0.863,0.319,0.0738,0,147,1024,1255,696198
3672,IMG_20260604_064815.jpg,revisar,4,0.892,0.367,0.0798,0,145,1017,1433,753487
3672,IMG_20260604_064815_1.jpg,revisar,5,0.858,0.344,0.0803,0,149,1056,1395,757960
3672,IMG_20260604_064816.jpg,revisar,6,0.879,0.31,0.0758,0,149,1011,1382,715551
3672,IMG_20260604_064816_1.jpg,revisar,3,0.832,0.435,0.0772,0,150,1018,1337,728348
3672,IMG_20260604_064817.jpg,revisar,5,0.774,0.349,0.0719,0,149,1037,1331,678367
3672,IMG_20260604_064817_1.jpg,revisar,4,0.857,0.383,0.0759,0,149,1011,1382,716387
3672,IMG_20260604_064818.jpg,revisar,5,0.874,0.361,0.0749,0,149,999,1306,706660
3672,IMG_20260604_064818_1.jpg,revisar,4,0.769,0.442,0.0728,0,147,986,1331,687142
3672,IMG_20260604_064818_2.jpg,revisar,6,0.871,0.304,0.0721,0,145,992,1267,680211
3672,IMG_20260604_064819.jpg,revisar,4,0.869,0.371,0.0719,0,143,986,1325,678362
3672,IMG_20260604_064819_1.jpg,revisar,5,0.883,0.344,0.0726,0,145,985,1312,685021
3672,IMG_20260604_064820.jpg,revisar,5,0.832,0.345,0.0706,0,144,986,1293,666538
3672,IMG_20260604_064820_1.jpg,revisar,7,0.64,0.291,0.0764,0,140,896,1388,721253
3672,IMG_20260604_064821.jpg,revisar,5,0.866,0.333,0.0713,0,142,992,1236,672760
3672,IMG_20260604_064821_1.jpg,revisar,5,0.876,0.348,0.0742,0,147,992,1261,699970
3672,IMG_20260604_064821_2.jpg,revisar,4,0.826,0.37,0.0758,0,145,992,1337,715702
3672,IMG_20260604_064822.jpg,revisar,5,0.847,0.335,0.0767,0,141,1050,1370,723920
3672,IMG_20260604_064822_1.jpg,revisar,4,0.822,0.347,0.072,0,140,1004,1370,679059
3672,IMG_20260604_064823.jpg,revisar,4,0.822,0.373,0.0758,0,141,998,1408,715582
3672,IMG_20260604_064823_1.jpg,revisar,5,0.83,0.344,0.0735,0,139,992,1351,693837
3672,IMG_20260604_064828.jpg,sin_marcador,2,0.761,0.559,0.5811,1,,2290,3940,5443708
3672,IMG_20260604_064829.jpg,sin_marcador,2,0.819,0.532,0.4443,1,,2251,2970,4161771
3672,IMG_20260604_064831.jpg,revisar,5,0.539,0.342,0.0777,0,141,1011,1388,733205
3672,IMG_20260604_064832.jpg,revisar,5,0.676,0.351,0.0758,0,142,1004,1255,715726
3672,IMG_20260604_064832_1.jpg,revisar,5,0.838,0.329,0.0724,0,140,999,1216,683392
3672,IMG_20260604_064833.jpg,revisar,5,0.782,0.327,0.0724,0,137,985,1267,683265
3672,IMG_20260604_064833_1.jpg,revisar,4,0.797,0.378,0.0715,0,147,999,1229,675126
3672,IMG_20260604_064834.jpg,revisar,4,0.621,0.418,0.0917,0,140,1005,1651,865139
3677,IMG_20260604_064525.jpg,revisar,3,0.904,0.449,0.0598,0,113,889,1286,564347
3677,IMG_20260604_064526.jpg,revisar,3,0.916,0.489,0.0591,0,117,864,1248,557276
3677,IMG_20260604_064527.jpg,revisar,3,0.916,0.46,0.0567,0,115,871,1184,535082
3677,IMG_20260604_064528.jpg,revisar,3,0.865,0.44,0.0529,0,113,877,954,499391
3677,IMG_20260604_064531.jpg,revisar,3,0.893,0.456,0.056,0,112,877,1152,528560
3677,IMG_20260604_064531_1.jpg,revisar,3,0.898,0.459,0.0557,0,111,877,1127,525218
3677,IMG_20260604_064532.jpg,revisar,3,0.911,0.485,0.0574,0,112,864,1178,541338
3677,IMG_20260604_064536.jpg,revisar,3,0.892,0.548,0.0742,0,129,915,1606,700167
3677,IMG_20260604_064537.jpg,revisar,3,0.937,0.557,0.0744,0,130,928,1632,701984
3677,IMG_20260604_064537_1.jpg,revisar,3,0.935,0.548,0.0757,0,132,928,1625,714305
3677,IMG_20260604_064538.jpg,revisar,2,0.929,0.62,0.0759,0,131,935,1607,716177
3677,IMG_20260604_064539.jpg,revisar,4,0.938,0.454,0.0757,0,133,922,1561,714185
3677,IMG_20260604_064539_1.jpg,revisar,4,0.939,0.471,0.0748,0,132,921,1555,705558
3677,IMG_20260604_064540.jpg,revisar,2,0.934,0.658,0.0757,0,132,928,1555,714106
3677,IMG_20260604_064541.jpg,revisar,3,0.94,0.487,0.0739,0,133,915,1555,697110
3677,IMG_20260604_064541_1.jpg,revisar,3,0.938,0.529,0.0711,0,133,909,1523,670907
3677,IMG_20260604_064542.jpg,revisar,3,0.943,0.484,0.0738,0,133,916,1568,696732
3677,IMG_20260604_064542_1.jpg,revisar,4,0.939,0.497,0.0723,0,132,928,1523,682728
3677,IMG_20260604_064543.jpg,revisar,4,0.935,0.464,0.0727,0,133,915,1517,686303
3677,IMG_20260604_064544.jpg,revisar,4,0.939,0.467,0.0739,0,132,922,1530,697320
3677,IMG_20260604_064544_1.jpg,revisar,3,0.942,0.479,0.0728,0,133,915,1524,687415
3677,IMG_20260604_064545.jpg,revisar,3,0.928,0.526,0.0716,0,132,915,1491,675365
3677,IMG_20260604_064545_1.jpg,revisar,4,0.936,0.506,0.0743,0,134,928,1415,700936
3677,IMG_20260604_064549.jpg,sin_marcador,3,0.747,0.571,0.4911,1,,2257,2748,4600377
3677,IMG_20260604_064552.jpg,revisar,4,0.905,0.402,0.068,0,133,921,1254,641797
3677,IMG_20260604_064553.jpg,revisar,4,0.89,0.373,0.0635,0,135,922,1280,599423
3678,IMG_20260604_064423.jpg,revisar,2,0.901,0.653,0.083,0,141,1011,1363,783453
3678,IMG_20260604_064425.jpg,revisar,5,0.928,0.446,0.083,0,138,947,1632,783600
3678,IMG_20260604_064425_1.jpg,revisar,4,0.931,0.454,0.0841,0,140,979,1600,794119
3678,IMG_20260604_064426.jpg,revisar,4,0.923,0.498,0.0805,0,136,953,1530,759583
3678,IMG_20260604_064427.jpg,revisar,3,0.918,0.543,0.08,0,135,966,1510,754877
3678,IMG_20260604_064427_1.jpg,revisar,2,0.925,0.68,0.0803,0,137,985,1498,757734
3678,IMG_20260604_064428.jpg,revisar,4,0.932,0.406,0.0846,0,138,979,1606,798612
3678,IMG_20260604_064429.jpg,revisar,3,0.925,0.562,0.0843,0,134,980,1632,795192
3678,IMG_20260604_064429_1.jpg,revisar,5,0.945,0.456,0.0852,0,137,986,1599,804332
3678,IMG_20260604_064430.jpg,revisar,3,0.934,0.521,0.0841,0,134,980,1612,793448
3678,IMG_20260604_064431.jpg,revisar,4,0.926,0.518,0.0841,0,134,967,1568,794086
3678,IMG_20260604_064431_1.jpg,revisar,4,0.938,0.467,0.0847,0,134,953,1594,799759
3678,IMG_20260604_064432.jpg,revisar,3,0.925,0.478,0.0833,0,134,953,1562,785844
3678,IMG_20260604_064433.jpg,revisar,3,0.93,0.526,0.083,0,134,953,1574,783109
3678,IMG_20260604_064433_1.jpg,revisar,3,0.936,0.503,0.0819,0,133,953,1581,772805
3678,IMG_20260604_064434.jpg,revisar,3,0.916,0.48,0.083,0,134,953,1587,782820
3678,IMG_20260604_064435.jpg,revisar,4,0.813,0.402,0.0819,0,133,960,1606,772944
3678,IMG_20260604_064435_1.jpg,revisar,2,0.924,0.718,0.0814,0,135,966,1580,767921
3678,IMG_20260604_064436.jpg,revisar,3,0.912,0.517,0.0857,0,136,960,1613,809153
3678,IMG_20260604_064437.jpg,revisar,2,0.93,0.687,0.0853,0,137,967,1625,805451
3678,IMG_20260604_064437_1.jpg,revisar,3,0.931,0.545,0.0833,0,136,954,1613,786195
3678_2,IMG_20260604_064459.jpg,revisar,5,0.924,0.398,0.0741,0,129,915,1395,699740
3678_2,IMG_20260604_064459_1.jpg,revisar,6,0.927,0.38,0.0759,0,132,928,1472,715852
3678_2,IMG_20260604_064500.jpg,revisar,6,0.904,0.384,0.0778,0,134,921,1594,733825
3678_2,IMG_20260604_064501.jpg,revisar,5,0.924,0.444,0.0771,0,135,915,1555,727488
3678_2,IMG_20260604_064502.jpg,revisar,5,0.925,0.431,0.0768,0,135,915,1530,724873
3678_2,IMG_20260604_064502_1.jpg,revisar,5,0.918,0.444,0.078,0,135,915,1536,735733
3678_2,IMG_20260604_064503.jpg,revisar,4,0.918,0.516,0.078,0,134,916,1568,736565
3678_2,IMG_20260604_064504.jpg,revisar,4,0.934,0.477,0.0795,0,134,935,1574,750150
3678_2,IMG_20260604_064504_1.jpg,revisar,3,0.924,0.569,0.0796,0,135,922,1599,751644
3678_2,IMG_20260604_064505.jpg,revisar,3,0.935,0.516,0.0778,0,134,921,1549,733757
3678_2,IMG_20260604_064506.jpg,revisar,4,0.897,0.473,0.0815,0,149,928,1645,768942
3678_2,IMG_20260604_064507.jpg,revisar,3,0.924,0.527,0.0762,0,153,947,1466,718825
3678_2,IMG_20260604_064508.jpg,revisar,3,0.922,0.565,0.0803,0,141,928,1606,757687
3678_closeup,IMG_20260604_064450.jpg,sin_vaca,0,,,,,,,,
3679,IMG_20260604_065624.jpg,revisar,3,0.914,0.502,0.0708,1,112,1062,1011,668241
3679,IMG_20260604_065625.jpg,revisar,3,0.936,0.519,0.0744,1,110,1024,954,701830
3679,IMG_20260604_065626.jpg,revisar,3,0.932,0.496,0.0689,1,100,1056,883,650160
3679,IMG_20260604_065626_1.jpg,revisar,2,0.901,0.577,0.0642,1,103,1031,845,606012
3679,IMG_20260604_065627.jpg,revisar,3,0.901,0.473,0.066,1,100,1049,813,622974
3679,IMG_20260604_065627_1.jpg,revisar,3,0.886,0.479,0.0664,1,98,1114,794,626398
3679,IMG_20260604_065628.jpg,revisar,3,0.87,0.476,0.064,1,98,1024,966,603865
3679,IMG_20260604_065628_1.jpg,revisar,3,0.896,0.467,0.0624,1,98,1094,781,589230
3679,IMG_20260604_065629.jpg,revisar,3,0.923,0.476,0.0643,1,98,1062,781,606953
3679,IMG_20260604_065629_1.jpg,revisar,3,0.913,0.468,0.0635,1,100,1030,800,599191
3679,IMG_20260604_065630.jpg,revisar,3,0.897,0.479,0.0662,1,100,1024,883,624566
3679,IMG_20260604_065630_1.jpg,revisar,3,0.907,0.468,0.0643,1,100,1024,838,606345
3679,IMG_20260604_065631.jpg,revisar,3,0.896,0.48,0.0658,1,100,1018,845,620625
3679,IMG_20260604_065632.jpg,revisar,3,0.899,0.489,0.0694,1,100,1126,979,655096
3679,IMG_20260604_065632_1.jpg,revisar,3,0.909,0.486,0.0681,1,100,1049,934,642791
3679,IMG_20260604_065633.jpg,revisar,3,0.916,0.494,0.0697,1,100,1108,870,658001
3679,IMG_20260604_065633_1.jpg,revisar,3,0.906,0.499,0.07,1,101,1037,941,660963
3679,IMG_20260604_065634.jpg,revisar,3,0.89,0.486,0.0664,1,100,1069,864,626613
3679,IMG_20260604_065634_1.jpg,revisar,3,0.912,0.52,0.0682,1,100,1049,864,643527
3679,IMG_20260604_065635.jpg,revisar,4,0.91,0.428,0.0675,1,100,1056,851,637476
3679,IMG_20260604_065635_1.jpg,revisar,3,0.91,0.541,0.0732,1,99,1127,851,690907
3679,IMG_20260604_065636.jpg,revisar,3,0.894,0.511,0.0678,1,99,1056,832,639395
3679,IMG_20260604_065636_1.jpg,revisar,3,0.908,0.478,0.0667,1,100,1044,851,629318
3679,IMG_20260604_065637.jpg,revisar,3,0.913,0.495,0.0653,1,100,1024,838,615966
3679,IMG_20260604_065637_1.jpg,revisar,3,0.908,0.5,0.0679,1,101,1030,998,640490
3679,IMG_20260604_065638.jpg,revisar,3,0.885,0.506,0.069,1,101,1139,838,651478
3679,IMG_20260604_065638_1.jpg,revisar,3,0.915,0.523,0.0688,1,101,1049,858,649264
3679,IMG_20260604_065639.jpg,revisar,3,0.918,0.514,0.069,1,101,1081,928,650700
3679,IMG_20260604_065639_1.jpg,revisar,3,0.913,0.529,0.0719,1,100,1222,845,678776
