fila,nombre,arete,categoria,peso_lb1,peso_lb2,peso_kg,telefono,notas
1,Estrellita,197260,,,,,xiaomi_15_ultra,
2,Rosalinda,236681,,,,,xiaomi_15_ultra,
3,Irina,207898,,,,,xiaomi_15_ultra,
4,Realta,207903,,,,,xiaomi_15_ultra,nombre dudoso
5,Pamita,073148,,,,,xiaomi_15_ultra,nombre dudoso
6,Señorita,207916,,,,,xiaomi_15_ultra,
7,Keila,073161,,,,,xiaomi_15_ultra,700 tachado
8,Gaby,223678,,,,,xiaomi_15_ultra,
9,Cerezita,,,,,,xiaomi_15_ultra,"anotado ""No tiene"""
10,Martinica,,,,,,xiaomi_15_ultra,sin arete
11,Crisalia,197257,,,,,xiaomi_15_ultra,
12,Oscarina,207913,,,,,xiaomi_15_ultra,
13,Minerva,,,,,,xiaomi_15_ultra,sin arete
14,Carlina,207902,,,,,xiaomi_15_ultra,
15,Leonora,,,,,,xiaomi_15_ultra,sin arete
16,Cereza,246502,,,,,xiaomi_15_ultra,
17,Guadalupe,,,,,,xiaomi_15_ultra,nombre dudoso; sin arete
18,Nicoleta,026590,,,,,xiaomi_15_ultra,
19,Mafer,236693,,,,,xiaomi_15_ultra,
20,Anita,,,,,,xiaomi_15_ultra,sin arete
21,Zafiro,236697,,,,,xiaomi_15_ultra,
22,Selena,223679,,,,,xiaomi_15_ultra,
23,Perla,207915,,,,,xiaomi_15_ultra,
24,Chaparrita,207917,,,,,xiaomi_15_ultra,
25,Lucy,236669,,,,,xiaomi_15_ultra,
26,Mauita,,,,,,xiaomi_15_ultra,nombre dudoso; sin arete
27,Diajira,236688,,,,,xiaomi_15_ultra,
28,Valentina,246521,,,,,xiaomi_15_ultra,
29,Bengala,246510,,,,,xiaomi_15_ultra,
30,Victoria,,,,,,xiaomi_15_ultra,raya: sin arete
31,Danessa,207920,,,,,xiaomi_15_ultra,
32,Sofía,223687,,,,,xiaomi_15_ultra,
33,Fabiola,197272,,,,,xiaomi_15_ultra,
34,Lucero,223677,,,,,xiaomi_15_ultra,
35,Camelia,197269,,,,,xiaomi_15_ultra,
36,Cristy,073169,,,,,xiaomi_15_ultra,
37,Naomi,223683,,,,,xiaomi_15_ultra,
38,Bora,073159,,,,,xiaomi_15_ultra,
39,Gioconda,223681,,,,,xiaomi_15_ultra,escrita después de la última foto de tabla (08:04:29)
40,Esmeralda,160777,,,,,galaxy_a25,Notas: A25; fotografiada con el Galaxy A25 (08:06:14-08:06:45)
