fila,nombre,arete,nombre_junio,arete_junio,coincidencia,peso_junio_lb,peso_repesaje_lb
1,Estrellita,197260,,,sin_peso_historico,,
2,Rosalinda,236681,ROSALINDA,236681,nombre_y_arete,797.0,810
3,Irina,207898,IRINA,207898,nombre_y_arete,990.0,966
4,Realta,207903,,,sin_peso_historico,,
5,Damita,73148,DAMITA,73148,nombre_y_arete,966.0,1002
6,Señorita,207916,,,sin_peso_historico,,
7,Keila,73161,,,sin_peso_historico,,
8,Gaby,223678,,,sin_peso_historico,,
9,Cerezita,,,,sin_peso_historico,,
10,Martinica,,MARTINICA,26526,solo_nombre,990.0,978
11,Crisalia,197257,CRISALIA,197257,nombre_y_arete,850.0,797
12,Oscarina,207913,OSCARINA,207913,nombre_y_arete,784.0,784
13,Minerva,,MINERVA,44627,solo_nombre,889.0,823
14,Carlina,207902,,,sin_peso_historico,,
15,Leonora,,,,sin_peso_historico,,
16,Cereza,246502,CERESA,246502,nombre_y_arete,659.0,669
17,Guadiela,,,,sin_peso_historico,,
18,Nicoleta,26590,NICOLETA,26590,nombre_y_arete,915.0,966
19,Mafer,236693,MAFER,236693,nombre_y_arete,745.0,758
20,Anita,,ANITA,26577,solo_nombre,889.0,876
21,Zafiro,236697,ZAFIRO,236697,nombre_y_arete,694.0,645
22,Selena,223679,SELENA,223679,nombre_y_arete,784.0,797
23,Perla,207915,PERLA,207915,nombre_y_arete,784.0,784
24,Chaparrita,207911,CHAPARRITA,207911,conflicto_arete,850.0,758
25,Lucy,236669,,,sin_peso_historico,,
26,Mariita,,MARIITA,26603,solo_nombre,990.0,966
27,Diajira,236688,DIAGIRA,236688,nombre_y_arete,797.0,850
28,Valentina,246521,,,sin_peso_historico,,
29,Bengala,246510,,,sin_peso_historico,,
30,Victoria,,,,sin_peso_historico,,
31,Danessa,207920,,,sin_peso_historico,,
32,Sofía,223687,,,sin_peso_historico,,
33,Fabiola,197272,FABIOLA,197272,nombre_y_arete,758.0,732
34,Lucero,223677,,,sin_peso_historico,,
35,Camelia,197269,CAMELIA,197269,nombre_y_arete,837.0,837
36,Cristy,73169,CRISTY,73169,nombre_y_arete,928.0,876
37,Naomi,223683,,,sin_peso_historico,,
38,Odra,73159,ODRA,73159,nombre_y_arete,889.0,823
39,Gioconda,223681,GIOCONDA,223681,nombre_y_arete,905.0,823
40,Esmeralda,160771,,,sin_peso_historico,,
