fila,nombre,arete,peso_lb,fecha_pesaje,instrumento,fuente
1,Estrellita,197260,905,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
2,Rosalinda,236681,810,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
3,Irina,207898,876,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
4,Realta,207903,905,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
5,Damita,73148,990,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
6,Señorita,207916,837,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
7,Keila,73161,954,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
8,Gaby,223678,745,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
9,Cerezita,,966,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
10,Martinica,,1046,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
11,Crisalia,197257,810,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
12,Oscarina,207913,771,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
13,Minerva,,915,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
14,Carlina,207902,732,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
15,Leonora,,823,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
16,Cereza,246502,719,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
17,Guadiela,,837,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
18,Nicoleta,26590,954,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
19,Mafer,236693,745,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
20,Anita,,941,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
21,Zafiro,236697,622,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
22,Selena,223679,837,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
23,Perla,207915,771,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
24,Chaparrita,207911,823,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
25,Lucy,236669,823,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
26,Mariita,,978,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
27,Diajira,236688,889,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
28,Valentina,246521,707,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
29,Bengala,246510,732,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
30,Victoria,,966,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
31,Danessa,207920,645,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
32,Sofía,223687,863,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
33,Fabiola,197272,797,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
34,Lucero,223677,758,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
35,Camelia,197269,850,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
36,Cristy,73169,1002,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
37,Naomi,223683,915,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
38,Odra,73159,850,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
39,Gioconda,223681,889,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
40,Esmeralda,160771,966,2026-09-20,cinta bovinométrica; una lectura por una experta,"hoja de pesaje de la finca, 20 de septiembre de 2026"
