orden,photo,cow_id,arete,weight_kg,weight_lb,status,marker_px,px_per_cm,cow_conf,dom_frac,body_length_cm,height_cm,chest_depth_cm,lateral_area_cm2,aspect_ratio,fill_ratio
1,WhatsApp Image 2026-06-05 at 07.57.46.jpeg,PERLA,207915,355.6,784.0,sin_marcador,,,0.964,0.953,,,,,,
2,WhatsApp Image 2026-06-05 at 07.58.08.jpeg,ODRA,73159,403.2,889.0,escala_dudosa,43,2.879,0.946,0.945,266.76,152.83,141.02,19964.07,1.7455,0.4897
3,WhatsApp Image 2026-06-05 at 07.58.33.jpeg,MARIQUITA,236685,298.9,659.0,escala_dudosa,53,3.539,0.96,1.0,203.45,133.37,122.07,13411.21,1.5254,0.4943
4,WhatsApp Image 2026-06-05 at 07.58.52.jpeg,MARTITA,44635,410.5,905.0,escala_dudosa,55,3.6818,0.939,1.0,236.84,152.1,147.21,17176.13,1.5571,0.4768
5,WhatsApp Image 2026-06-05 at 07.59.14.jpeg,LUBIANCA,236694,349.7,771.0,escala_dudosa,53,3.539,0.959,1.0,219.27,146.37,119.81,14218.59,1.4981,0.443
6,WhatsApp Image 2026-06-05 at 07.59.30.jpeg,OSCARINA,207913,355.6,784.0,escala_dudosa,51,3.4059,0.967,1.0,215.51,164.42,133.89,16501.38,1.3107,0.4657
7,WhatsApp Image 2026-06-05 at 07.59.47.jpeg,CRISTY,73169,420.9,928.0,escala_dudosa,49,3.2728,0.942,0.973,249.33,158.89,136.28,17802.82,1.5692,0.4494
8,WhatsApp Image 2026-06-05 at 08.00.07.jpeg,SELENA,223679,355.6,784.0,escala_dudosa,57,3.8146,0.936,1.0,230.69,160.96,143.13,16943.31,1.4332,0.4563
9,WhatsApp Image 2026-06-05 at 08.00.21.jpeg,NOHELIA,236684,292.6,645.0,escala_dudosa,60,4.0089,0.951,1.0,215.52,155.65,131.21,14461.73,1.3846,0.4311
10,WhatsApp Image 2026-06-05 at 08.00.48.jpeg,MARTINICA,26526,449.1,990.0,escala_dudosa,41,2.7406,0.962,1.0,268.55,180.98,146.68,22320.53,1.4839,0.4593
11,WhatsApp Image 2026-06-05 at 08.01.11.jpeg,FORD,236679,309.3,682.0,escala_dudosa,59,3.9384,0.913,1.0,231.57,145.24,140.16,14828.85,1.5944,0.4409
12,WhatsApp Image 2026-06-05 at 08.01.27.jpeg,ZAFIRO,236697,314.8,694.0,escala_dudosa,52,3.4692,0.963,0.969,232.9,149.89,123.95,15209.6,1.5538,0.4357
13,WhatsApp Image 2026-06-05 at 08.01.47.jpeg,CHIQUITA,223685,367.4,810.0,escala_dudosa,56,3.7428,0.955,1.0,228.7,147.48,147.48,15402.51,1.5507,0.4566
14,WhatsApp Image 2026-06-05 at 08.02.08.jpeg,NOHEMI,236690,320.7,707.0,escala_dudosa,55,3.6721,0.949,1.0,237.47,149.23,130.17,16753.23,1.5912,0.4728
15,WhatsApp Image 2026-06-05 at 08.02.30.jpeg,KARINA,236703,309.3,682.0,escala_dudosa,58,3.8718,0.918,0.963,225.22,149.28,136.37,15201.81,1.5087,0.4522
16,WhatsApp Image 2026-06-05 at 08.03.46.jpeg,MAFER,236693,337.9,745.0,escala_dudosa,56,3.7387,0.961,1.0,228.96,161.55,135.34,17339.81,1.4172,0.4688
17,WhatsApp Image 2026-06-05 at 08.04.09.jpeg,NICOL ESTEFANIA,223682,332.0,732.0,escala_dudosa,54,3.6025,0.946,0.97,250.94,162.11,146.01,18802.29,1.5479,0.4622
18,WhatsApp Image 2026-06-05 at 08.04.37.jpeg,ROSALINDA,236681,361.5,797.0,escala_dudosa,50,3.3393,0.93,0.949,244.96,143.74,138.95,16995.26,1.7042,0.4827
19,WhatsApp Image 2026-06-05 at 08.05.11.jpeg,ANITA,26577,403.2,889.0,escala_dudosa,51,3.4104,0.92,0.957,274.45,171.24,151.3,22792.66,1.6027,0.485
20,WhatsApp Image 2026-06-05 at 08.07.22.jpeg,CRISALIA,197257,385.6,850.0,escala_dudosa,53,3.539,0.93,0.901,239.62,169.54,145.24,17107.98,1.4133,0.4211
21,WhatsApp Image 2026-06-05 at 08.07.45.jpeg,DANIELA,236687,420.9,928.0,escala_dudosa,56,3.7428,0.944,1.0,247.94,145.34,137.86,18927.13,1.7059,0.5252
22,WhatsApp Image 2026-06-05 at 08.08.01.jpeg,CAMELIA,197269,379.7,837.0,escala_dudosa,64,4.275,0.905,1.0,226.43,138.48,128.66,15366.54,1.6351,0.4901
23,WhatsApp Image 2026-06-05 at 08.08.25.jpeg,PAULINA,236700,320.7,707.0,escala_dudosa,62,4.1419,0.935,1.0,225.98,139.07,132.79,15276.45,1.625,0.4861
24,WhatsApp Image 2026-06-05 at 08.08.56.jpeg,CERESA,246502,298.9,659.0,escala_dudosa,45,3.0067,0.945,0.901,209.53,133.04,123.73,13941.59,1.575,0.5001
25,WhatsApp Image 2026-06-05 at 08.09.09.jpeg,CHAPARRITA,207911,385.6,850.0,escala_dudosa,54,3.6056,0.958,0.862,265.15,166.41,140.34,21119.69,1.5933,0.4787
26,WhatsApp Image 2026-06-05 at 08.09.29.jpeg,MINERVA,44627,403.2,889.0,escala_dudosa,45,3.003,0.907,1.0,223.78,156.51,138.53,15335.04,1.4298,0.4378
27,WhatsApp Image 2026-06-05 at 08.09.51.jpeg,IRINA,207898,449.1,990.0,escala_dudosa,38,2.5342,0.947,1.0,274.64,175.2,152.32,23416.82,1.5676,0.4867
28,WhatsApp Image 2026-06-05 at 08.10.07.jpeg,NICOLETA,26590,415.0,915.0,escala_dudosa,39,2.6034,0.941,0.935,248.14,153.64,144.43,19142.56,1.615,0.5021
29,WhatsApp Image 2026-06-05 at 08.10.22.jpeg,GIOCONDA,223681,410.5,905.0,escala_dudosa,50,3.35,0.906,0.85,238.81,158.81,150.45,17351.29,1.5038,0.4575
30,WhatsApp Image 2026-06-05 at 08.10.39.jpeg,ALCIONE,197264,449.1,990.0,escala_dudosa,46,3.0732,0.956,0.935,249.9,164.0,142.52,19030.02,1.5238,0.4643
31,WhatsApp Image 2026-06-05 at 08.10.56.jpeg,DAMITA,73148,438.2,966.0,escala_dudosa,41,2.7366,0.945,1.0,263.1,157.86,146.17,19693.17,1.6667,0.4742
