orden,foto,foto_idx,nombre,name_csv,arete,peso_lb,peso_kg,cow_detectada
1,WhatsApp Image 2026-06-05 at 07.57.46.jpeg,3,PERLA,Perla,207915,784.0,355.6,si
2,WhatsApp Image 2026-06-05 at 07.58.08.jpeg,4,ODRA,Odra,73159,889.0,403.2,si
3,WhatsApp Image 2026-06-05 at 07.58.33.jpeg,5,MARIQUITA,Mariquita,236685,659.0,298.9,si
4,WhatsApp Image 2026-06-05 at 07.58.52.jpeg,6,MARTITA,Marthita,44635,905.0,410.5,si
5,WhatsApp Image 2026-06-05 at 07.59.14.jpeg,7,LUBIANCA,Lubianca,236694,771.0,349.7,si
6,WhatsApp Image 2026-06-05 at 07.59.30.jpeg,8,OSCARINA,Oscarina,207913,784.0,355.6,si
7,WhatsApp Image 2026-06-05 at 07.59.47.jpeg,9,CRISTY,Cristy,73169,928.0,420.9,si
8,WhatsApp Image 2026-06-05 at 08.00.07.jpeg,10,SELENA,Selena,223679,784.0,355.6,si
9,WhatsApp Image 2026-06-05 at 08.00.21.jpeg,11,NOHELIA,Nohelia,236684,645.0,292.6,si
10,WhatsApp Image 2026-06-05 at 08.00.48.jpeg,12,MARTINICA,Martinice,26526,990.0,449.1,si
11,WhatsApp Image 2026-06-05 at 08.01.11.jpeg,13,FORD,Ford,236679,682.0,309.3,si
12,WhatsApp Image 2026-06-05 at 08.01.27.jpeg,14,ZAFIRO,Zafiro,236697,694.0,314.8,si
13,WhatsApp Image 2026-06-05 at 08.01.47.jpeg,15,CHIQUITA,Chiquita,223685,810.0,367.4,si
14,WhatsApp Image 2026-06-05 at 08.02.08.jpeg,16,NOHEMI,Nohemi,236690,707.0,320.7,si
15,WhatsApp Image 2026-06-05 at 08.02.30.jpeg,17,KARINA,Carina,236703,682.0,309.3,si
16,WhatsApp Image 2026-06-05 at 08.03.46.jpeg,18,MAFER,Mafer,236693,745.0,337.9,si
17,WhatsApp Image 2026-06-05 at 08.04.09.jpeg,19,NICOL ESTEFANIA,Nicol Estefania,223682,732.0,332.0,si
18,WhatsApp Image 2026-06-05 at 08.04.37.jpeg,20,ROSALINDA,Rosalinda,236681,797.0,361.5,si
19,WhatsApp Image 2026-06-05 at 08.05.11.jpeg,21,ANITA,Anita,26577,889.0,403.2,si
20,WhatsApp Image 2026-06-05 at 08.07.22.jpeg,22,CRISALIA,Crisalia,197257,850.0,385.6,si
21,WhatsApp Image 2026-06-05 at 08.07.45.jpeg,23,DANIELA,Daniela,236687,928.0,420.9,si
22,WhatsApp Image 2026-06-05 at 08.08.01.jpeg,24,CAMELIA,Camelia,197269,837.0,379.7,si
23,WhatsApp Image 2026-06-05 at 08.08.25.jpeg,25,PAULINA,Paulina,236700,707.0,320.7,si
24,WhatsApp Image 2026-06-05 at 08.08.56.jpeg,26,CERESA,Ceresa,246502,659.0,298.9,si
25,WhatsApp Image 2026-06-05 at 08.09.09.jpeg,27,CHAPARRITA,Chaparrita,207911,850.0,385.6,si
26,WhatsApp Image 2026-06-05 at 08.09.29.jpeg,28,MINERVA,Minerva,44627,889.0,403.2,si
27,WhatsApp Image 2026-06-05 at 08.09.51.jpeg,29,IRINA,Irina,207898,990.0,449.1,si
28,WhatsApp Image 2026-06-05 at 08.10.07.jpeg,30,NICOLETA,Nicoleta,26590,915.0,415.0,si
29,WhatsApp Image 2026-06-05 at 08.10.22.jpeg,31,GIOCONDA,Gioconda,223681,905.0,410.5,si
30,WhatsApp Image 2026-06-05 at 08.10.39.jpeg,32,ALCIONE,Alcione,197264,990.0,449.1,si
31,WhatsApp Image 2026-06-05 at 08.10.56.jpeg,33,DAMITA,Damita,73148,966.0,438.2,si
32,WhatsApp Image 2026-06-05 at 08.11.15.jpeg,34,FABIOLA,Fabiola,197272,758.0,343.8,si
33,WhatsApp Image 2026-06-05 at 08.11.36.jpeg,35,IRIS,Iris,236703,682.0,309.3,si
34,WhatsApp Image 2026-06-05 at 08.11.54.jpeg,36,MARIITA,Mariita,26603,990.0,449.1,si
35,WhatsApp Image 2026-06-05 at 08.12.28.jpeg,37,DIAGIRA,Diagira,236688,797.0,361.5,si
