Weight (LB),Name,New_Weight
784,Perla,784
889,Odra,823
659,Mariquita,659
905,Marthita,876
771,Lubianca,823
784,Oscarina,784
928,Cristy,876
784,Selena,797
645,Nohelia,645
990,Martinice,978
682,Ford,645
694,Zafiro,645
810,Chiquita,797
707,Nohemi,719
682,Carina,645
745,Mafer,758
732,Nicol Estefania,645
797,Rosalinda,810
889,Anita,876
850,Crisalia,797
928,Daniela,915
837,Camelia,837
707,Paulina,707
659,Ceresa,669
850,Chaparrita,758
889,Minerva,823
990,Irina,966
915,Nicoleta,966
905,Gioconda,823
990,Alcione,978
966,Damita,1002
758,Fabiola,732
682,Iris,645
990,Mariita,966
797,Diagira,850
